date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:59	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-15d9d%22	https://gdscgescoengg.live/assets/js/jquery.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/jquery.min.js	(from https://gdscgescoengg.live/)
17:44:59	18594/18594	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-48a2%22	https://gdscgescoengg.live/assets/js/popper.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/popper.min.js	(from https://gdscgescoengg.live/)
17:45:00	60091/60091	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-eabb%22	https://gdscgescoengg.live/assets/js/bootstrap.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/bootstrap.min.js	(from https://gdscgescoengg.live/)
17:45:00	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-379f%22	https://gdscgescoengg.live/assets/js/aos.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/aos.min.js	(from https://gdscgescoengg.live/)
17:45:01	13744/13744	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-35b0%22	https://gdscgescoengg.live/assets/js/counterup.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/counterup.min.js	(from https://gdscgescoengg.live/)
17:45:01	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-5b44%22	https://gdscgescoengg.live/assets/js/particles.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/particles.min.js	(from https://gdscgescoengg.live/)
17:45:01	5640/5640	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-1608%22	https://gdscgescoengg.live/assets/js/tilt.jquery.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/tilt.jquery.min.js	(from https://gdscgescoengg.live/)
17:45:02	68259/68259	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-10aa3%22	https://gdscgescoengg.live/assets/js/jquery.fancybox.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/jquery.fancybox.min.js	(from https://gdscgescoengg.live/)
17:45:03	19508/19508	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-4c34%22	https://gdscgescoengg.live/assets/js/perfect-scrollbar.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/perfect-scrollbar.min.js	(from https://gdscgescoengg.live/)
17:45:03	53179/53179	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-cfbb%22	https://gdscgescoengg.live/assets/js/slick.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/slick.min.js	(from https://gdscgescoengg.live/)
17:45:04	1760/1760	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-6e0%22	https://gdscgescoengg.live/assets/js/scroll-up-bar.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/scroll-up-bar.min.js	(from https://gdscgescoengg.live/)
17:45:04	27940/27940	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-6d24%22	https://gdscgescoengg.live/assets/js/custom-scripts.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/custom-scripts.js	(from https://gdscgescoengg.live/)
17:45:05	110418/110418	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-1af52%22	https://gdscgescoengg.live/assets/js/revolution/jquery.themepunch.tools.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/jquery.themepunch.tools.min.js	(from https://gdscgescoengg.live/)
17:45:05	64901/64901	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-fd85%22	https://gdscgescoengg.live/assets/js/revolution/jquery.themepunch.revolution.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/jquery.themepunch.revolution.min.js	(from https://gdscgescoengg.live/)
17:45:05	8324/8324	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-2084%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.actions.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.actions.min.js	(from https://gdscgescoengg.live/)
17:45:05	7601/7601	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-1db1%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.carousel.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.carousel.min.js	(from https://gdscgescoengg.live/)
17:45:05	3750/3750	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-ea6%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.kenburn.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.kenburn.min.js	(from https://gdscgescoengg.live/)
17:45:06	55936/55936	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-da80%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.layeranimation.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.layeranimation.min.js	(from https://gdscgescoengg.live/)
17:45:06	26099/26099	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-65f3%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.migration.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.migration.min.js	(from https://gdscgescoengg.live/)
17:45:06	26099/26099	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-65f3%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.navigation.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.navigation.min.js	(from https://gdscgescoengg.live/)
17:45:06	10927/10927	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-2aaf%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.parallax.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.parallax.min.js	(from https://gdscgescoengg.live/)
17:45:07	29397/29397	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-72d5%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.slideanims.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.slideanims.min.js	(from https://gdscgescoengg.live/)
17:45:07	25765/25765	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-64a5%22	https://gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.video.min.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/extensions/revolution.extension.video.min.js	(from https://gdscgescoengg.live/)
17:45:07	1940/1940	---M-Z	200	added ('OK')	application/javascript	etag:W/%22632ca496-794%22	https://gdscgescoengg.live/assets/js/revolution/revolution-init.js	C:/Users/arda.e/Desktop/zzz/gdsc/gdscgescoengg.live/assets/js/revolution/revolution-init.js	(from https://gdscgescoengg.live/)
